title,question,optionA,optionB,optionC,optionD,answer,explanation,subject
〈夏夜〉,下列詞語的注音，何者標示正確？,「朦」朧：ㄇㄥ,「朧」朧：ㄌㄨㄥˊ,「剔」透：ㄊㄧ,靜「ㄇㄧˋ」：ㄇㄧˋ,C,"(A) 朦：ㄇㄥˊ；(B) 朧朧的朧讀音為ㄌㄨˊ（月色微明之意）；(D) 靜「ㄇㄧˋ」為「謐」 [23, 24]。",chinese
〈夏夜〉,關於〈夏夜〉中的「朦朧」一詞，其字義為何？,日光、月光不明的樣子,月色微明的樣子,晶瑩透徹的樣子,黑暗無光的樣子,A,「朦朧」指日光、月光不明的樣子；而「朧朧」是指月色微明 [23]。,chinese
〈夏夜〉,「牛羊」一詞中，「牛」、「羊」均能單獨成詞並表達意義。下列哪一個詞語的字詞構造與此相同？,蝴蝶,朦朧,蜜蜂,葡萄,C,"「蜜蜂」的「蜜」與「蜂」皆能單獨成詞並表達意義（如：蜂蜜、黃蜂）。其餘選項（蝴蝶、朦朧、葡萄）皆為聯綿詞，分開拆字便失去原本的意義 [16, 17]。",chinese
〈夏夜〉,「只有夜風還醒著，／從竹林裡跑出來。」這句話運用的擬人轉化手法，與下列何者相同？,滿天的珍珠和一枚又大又亮的銀幣,竹子是喜歡跑到山頭去聚居的,這真是人群的蠹蟲，享福也就等於泡影,美麗的夏夜呀！／涼爽的夏夜呀！,B,"題幹與 (B) 選項皆是將無生命的自然事物（夜風、竹子）擬人化（會「醒著、跑出來」；「喜歡聚居」），屬於擬人轉化修辭。(A)、(C) 為譬喻修辭，(D) 為類疊修辭 [17, 18]。",chinese
〈夏夜〉,國語文中的「老」字常有不同詞性與意義。在「老虎」一詞中的「老」，只是表音作用的副詞詞綴，並無實際「年老」之意。下列哪一個「老」字的用法亦是如此？,老兵,老練,老師,老祖母,C,「老師」的「老」字屬於前綴副詞詞綴，並非指年紀大。其餘 (A) 老兵、(D) 老祖母皆指年長，(B) 老練指陳舊熟練 [21]。,chinese
〈無心的錯誤〉,關於劉墉的〈無心的錯誤〉，其文章在形式上屬於何種文體？,記敘文,抒情文,應用文,說明文,C,"本文是作者寫給兒子的書信，儘管內容多含敘事與議論，但在格式與性質上屬於「應用文」中的書信體 [4, 24]。",chinese
〈無心的錯誤〉,在〈無心的錯誤〉中，作者連續用三個問句來說明「沒有壞動機也可能觸法」，其主要目的為何？,提醒兒子明辨是非，不要跟壞人做朋友,想要兒子深深明白「無心也是一種錯誤」，切勿心存僥倖,勸導兒子放下屠刀，不要做壞事,希望兒子明白世上並非都是好人,B,"作者利用連續問句，旨在強化語氣，告誡並點醒兒子「沒有壞動機也可能觸法」，無心之舉同樣是錯誤且可能釀成惡果 [5, 6]。",chinese
〈無心的錯誤〉,下列哪一個選項引號中的「違」字，其字義與其他三者「不同」？,「違」反常理,「違」背承諾,久「違」重逢,「違」法亂紀,C,"(A)、(B)、(D) 的「違」皆指「不遵從、背離」之意，為動詞。而 (C) 久「違」的「違」是指「離別、不相見」之意 [4, 24]。",chinese
〈無心的錯誤〉,劉軒（作者的兒子）說：「經歷九一一，再讀這篇文章，又是不同的感覺了。」因為現今的狀況與當年早已不同。這最符合下列哪一句話的意涵？,亙古久遠，永世不移,早知如此，何必當初,千金難買早知道,此一時，彼一時,D,"時間、環境不同，讀相同文章所產生的感觸便不相同，符合「此一時，彼一時」（時空環境不同，情勢亦隨之改變）的意涵 [1, 2]。",chinese
〈無心的錯誤〉,關於〈無心的錯誤〉寫作手法與結構的說明，下列何者正確？,舉例豐富，涵蓋古今中外的事例,於末段「無心就是錯誤」一句，再次強調並點明全文主旨,首段即直接道出「無心錯誤」的法律定義,引用事例的順序是從古代一路寫到現在,B,本文在最後一段以「無心就是錯誤」做結，點明並再次強調全文的主旨 [2]。,chinese
〈無心的錯誤〉,下列哪一個選項中的文句「沒有」錯別字？,進入法庭為刑案做証，真是特殊的經驗,耦然間見到心儀許久的人，心中小鹿亂撞,請將新的字典諦給我，我需要使用,大過年卻聽到這種消息，真令人感慨萬千,D,"(A) 做「証」應改為做「證」；(B) 「耦」然應改為「偶」然；(C) 「諦」給我應改為「遞」給我 [2, 3, 24]。",chinese
〈無心的錯誤〉,「如果開鎖的人是賊□你就是共犯□若是肯尼的弓箭和朋友的氣槍傷了人□你也脫不開關係。」句中□內依序應填入哪些標點符號？,，；，,。；，,。，，,；，，,A,此處為條件句與並列複句，前件與後件分開為「如果...你就是共犯；若是...你也脫不開關係」，所以中間用分號「；」隔開兩組相對稱的分句，分句內部停頓則使用逗號「，」 [3]。,chinese
〈無心的錯誤〉,〈無心的錯誤〉中提到：「他被押上警車送審，並面臨十五年的徒刑。」這位年輕學生因為熱心幫人開鎖而得到這樣的下場，最想要提醒讀者的核心觀念為何？,熱心助人是美德，即使冒著危險也必須義無反顧,即使出發點是好的或純屬惡作劇，若造成傷害或觸法，仍須承擔嚴重的法律責任,警察執法太過小題大作，應該情有可原,年輕人應該勇於冒險，不需要被法律拘束,B,"作者以熱心開鎖卻成小偷共犯的例子，警示孩子「無心可能產生惡果」，即使動機善良或無心，只要在法律上構成違法或造成傷害，就必須承擔責任 [3, 4, 24, 28]。",chinese
〈無心的錯誤〉,"下列文句缺空處，最適宜填入哪一個詞語？,chinese
「＿＿＿這件事情已無法挽回，再多的解釋也於事無補。」",畢竟,就算,即使,也許,C,依前後文意「再多的解釋也於事無補」的讓步語氣，填入表示假設與讓步的「即使」最為通順 [5]。,chinese
〈無心的錯誤〉,(甲)「彌」新 (乙)「彌」高 (丙)「彌」月 (丁)「彌」補 (戊)「彌」封。以上「彌」字，哪一組的字義完全相同？,(丙)(丁)同,(甲)(丙)同,(乙)(丙)同,(丁)(戊)同,D,(甲)「彌」新、(乙)「彌」高之「彌」為「更加、越發」；(丙)「彌」月之「彌」為「滿」；(丁)「彌」補、(戊)「彌」封之「彌」則為「填補、覆蓋」之意。故 (丁)(戊) 字義相同 [5]。,chinese
〈母親的教誨〉,關於胡適所著的〈母親的教誨〉，其文體與文章出處為何？,現代詩，選自《楊喚全集》,記敘文（自傳散文），選自《四十自述》,語錄體，選自《論語》,應用文（家書體），選自《四十自述》,B,本文是胡適撰寫的記敘文（自傳散文），選自其代表作《四十自述》 [24]。,chinese
〈母親的教誨〉,關於胡適的母親馮順弟，下列敘述何者正確？,十七歲嫁到胡家，二十三歲不幸喪夫，在艱辛環境下堅忍教養胡適成人,是胡適的繼母，管教十分冷酷，毫無慈母的一面,一生只重視胡適的課業，完全不在乎其人品與道德教育,為了樹立威信，習慣在鄰居與外人面前痛打胡適,A,胡適之母馮順弟17歲嫁給胡鐵花，23歲喪夫守寡，在艱困多氣的環境下堅忍持家，苦心將胡適拉扯成人 [24]。,chinese
〈母親的教誨〉,胡適在文中寫道，母親「絕對不在別人面前罵我一句，打我一下」。這種管教方式背後的深意為何？,怕鄰居覺得自己是不稱職的母親,為了維護孩子的自尊心，讓孩子能真誠反省而非感到被羞辱,說明母親的個性懦弱、不敢聲張,只是隨機管教，沒有特定原則,B,胡適母親不在外人面前打罵孩子，這體現了她顧及孩子「自尊心」的教育智慧，讓孩子能關起門來真誠悔過 [24]。,chinese
〈母親的教誨〉,幼年胡適眼部生病時，母親在半夜為他「舔病眼」。這個行為在文學與文意理解上，傳達了何種意義？,顯示當時的醫療科技與常識非常落後,表現母親迷信偏方，管教不理性,展現了最極致、願意為孩子承擔痛苦的本能母愛,象徵嚴父管教下母親的無奈與懦弱,C,母親舔孩子病眼的細節，是胡適心中最感人、最震撼的一幕，生動刻畫出「慈母兼嚴父」深沉溫柔的母愛本能 [24]。,chinese
〈母親的教誨〉,胡適在文中頂嘴說：「娘（涼）什麼！老子都不老子呀！」引來母親極大憤怒。關於這句話的修辭與結構分析，下列何者正確？,僅使用了譬喻修辭，並無其他手法,是一句單純描寫天氣寒冷的客觀句子,運用了雙關修辭，其中「娘」諧音「涼」，「老子」雙關父親與道家哲學家,句中兩個「老子」的詞性與意思完全一樣,C,本句是經典的諧音雙關修辭。「娘」雙關天氣的「涼」；「老子」雙關道家哲學家「老子」與父親的代稱「老子」 [24]。,chinese
〈母親的教誨〉,承上題，在「老子都不老子」中，前後兩個「老子」在語法上的詞性與意思分別為何？,第一個是名詞（父親），第二個是動詞（像個父親／盡父親職責）,第一個是動詞（像個父親），第二個是名詞（父親）,兩個都是代名詞（我）,兩個都是專有名詞（指哲學家老子）,A,「老子都不老子」中，第一個「老子」是名詞，指「父親」；第二個「老子」是動詞，指「像個父親、盡父親的管教職責」 [24]。,chinese
〈母親的教誨〉,母親對胡適說：「你沒有老子，是多麼得意的事！好用來說嘴！」這句話所使用的修辭技巧，與下列何者相同？,他上課總是盯著窗外，真是個「認真」的好學生啊！,走在風中，今天陽光，突然好溫柔。,我像落花隨著流水，不知要飄向何方。,只有綠色的小河還醒著，低聲地歌唱。,A,"母親表面上說胡適得意，實際是在痛心自責下說出的「倒反法」責備。(A) 同樣是用「認真」來諷刺上課不專心的「倒反法」修辭。其餘 (B)、(D) 為轉化擬人，(C) 為譬喻 [24, 28]。",chinese
〈母親的教誨〉,關於〈母親的教誨〉一文的寫作手法與主旨，下列敘述何者正確？,運用「大題大作」的宏大歷史敘事來讚美母愛,運用「大題小作」的手法，以生活瑣事凸顯偉大母愛，並流露深刻的孺慕之情,主要在批判封建社會中男尊女卑的家庭結構,全文文筆華麗，使用大量誇張、華美的辭藻,B,胡適採用「大題小作」的手法，藉由早起、舔病眼、不受人侮辱等生活細微鎖事，細膩且質樸地表達出對母親深深的感激與愛戴 [24]。,chinese
〈母親的教誨〉,下列哪一個選項字音的標示完全正確？,「喪」父：ㄙㄤ,「舔」病眼：ㄊㄧㄢ,教「誨」：ㄐㄧㄠˋ ㄏㄨㄟˋ,「擰」肉：ㄋㄧㄥˊ,C,(A) 「喪」父當動詞應讀四聲「ㄙㄤˋ」；(B) 「舔」病眼應讀三聲「ㄊㄧㄢˇ」；(D) 「擰」肉應讀三聲「ㄋㄧㄥˇ」 [24]。,chinese
〈母親的教誨〉,胡適在〈母親的教誨〉提到母親管教極嚴，對他的管教方式可以形容為：,恩威並濟、寬嚴兼施,暴躁無常、動輒得咎,放任自流、毫不管束,嚴而無愛、冷酷無情,A,胡母在學業與品德上對胡適管束極嚴，但又極具慈愛（如舔病眼、維護其自尊心），是典型的「寬嚴兼施、恩威並濟」 [24]。,chinese
〈論語選〉,關於《論語》這部經典，下列敘述何者正確？,是孔子本人晚年親自撰寫完成的哲學大作,屬於「語錄體」，非成就於一人之手，是由孔子弟子及再傳弟子記錄編輯而成,全書文筆洋洋灑灑，是先秦議論散文的代表,共有三十篇，主要在記錄孔子各國遊歷的風土民情,B,《論語》是由孔子的弟子及再傳弟子，記錄孔子與弟子、時人應答之言所編輯而成的書，為「語錄體」 [25]。,chinese
〈論語選〉,關於本課〈論語選〉的文章風格與文筆特色，下列形容何者最為貼切？,簡明精要,絲絲入扣,侃侃而談,雕琢繁複,A,《論語》具有「簡明精要」的特色，句式精煉而意蘊深厚 [25]。,chinese
〈論語選〉,根據《論語．子游問孝》：「今之孝者，是謂能養。至於犬馬，皆能有養；不敬，何以別乎？」孔子認為「孝順父母」與「飼養犬馬」最關鍵的差別在於：,是否能提供充足的物質與飲食奉養,是否在內心深處存有真誠的「恭敬」,是否需要每天幫父母梳理毛髮,是否能做到打不還手、罵不還口,B,"孔子指出，若孝順僅是物質層面的「能養」，而內心沒有真誠的「敬意」，那和養狗養馬就沒有分別。因此，孝道的真諦在於「敬」的態度 [25, 29]。",chinese
〈論語選〉,「譬如為山，未成一簣，止，吾止也；譬如平地，雖覆一簣，進，吾往也。」這段話主要旨在告誡我們什麼道理？,蓋房子或堆土山時，必須做好防風防雨的措施,說明個人成就或為學、修德的成敗，完全取決於自身持之以恆的毅力,只要事情沒有做到最後，之前的努力就完全沒有任何價值,只要出發點是好的，半途而廢也值得鼓勵,B,這段話以「為山（堆山）」和「平地（填平窪地）」為喻，強調半途而廢（止，吾止也）或堅持到底（進，吾往也）完全繫於個人的態度與決心，鼓勵人們為學應持之以恆 [25]。,chinese
〈論語選〉,承上題，「譬如為山，未成一簣，止，吾止也；譬如平地，雖覆一簣，進，吾往也。」這段話主要運用了哪兩種修辭手法？,譬喻、映襯,雙關、倒反,轉化、誇飾,設問、借代,A,本文以「堆山、填地」比喻「為學修德」（譬喻修辭）；並將「半途而廢」與「持之以恆」對比（映襯修辭） [25]。,chinese
〈論語選〉,曾子曰：「吾日三省吾身：為人謀而不忠乎？與朋友交而不信乎？傳不習乎？」這段話的篇章結構安排是：,先分敘、再總結,先總敘、再分敘,只有分敘、沒有總括,只有總敘、沒有分述,B,曾子先以「吾日三省吾身」總起全文（總敘）；接著具體分列出反省的三件事：忠、信、習（分敘） [25]。,chinese
〈論語選〉,承上題，曾子每天自我反省的三件事中，「不包含」下列哪一個項目？,為他人辦理事情是否有盡心盡力（忠）,和朋友交往是否誠實、講信用（信）,老師傳授的課業、學問是否認真溫習（習）,每天是否賺取到足夠多的錢財（利）,D,曾子三省的內容為：為人謀而不忠乎（忠）、與朋友交而不信乎（信）、傳不習乎（習），並不包含錢財或個人利益 [25]。,chinese
〈論語選〉,下列引號中的字，何者是正確的「通同字」用法？,不亦「說」乎：通「悅」,人不知而不「慍」：通「溫」,未成一「簣」：通「櫃」,擇其善者而「從」之：通「縱」,A,在古代，音同或音近的字有通用現象。(A) 不亦「說」乎的「說」，讀音為ㄩㄝˋ，通「悅」（高興、喜悅）。其餘選項皆非通同字 [25]。,chinese
〈論語選〉,下列詞語中的讀音與字義，何者標示完全正確？,未成一「簣」：ㄍㄨㄟˋ，裝土的畚箕,不亦「說」乎：ㄕㄨㄛ，說話的意思,人不知而不「慍」：ㄩㄣˋ，生氣、怨恨,吾日三「省」吾身：ㄕㄥˇ，節省,C,(A) 簣讀音為ㄎㄨㄟˋ，指盛土的竹筐（畚箕）；(B) 說讀音為ㄩㄝˋ，通悅，喜悅之意；(D) 省讀音為ㄒㄧㄥˇ，反省之意 [25]。,chinese
〈論語選〉,班上來了一位從外縣市轉學過來的新同學，你要代表全班表達歡迎之意，最適合引用《論語》中的哪一句話？,學而時習之，不亦說乎,有朋自遠方來，不亦樂乎,知之者不如好之者,人不知而不慍，不亦君子乎,B,「有朋自遠方來，不亦樂乎」指有志同道合的朋友從遠方前來，不是件很快樂的事嗎？最適合用來表示對新朋友的歡迎與喜悅 [25]。,chinese
標點符號使用法,下列關於「標點符號」的定義與功能，何者敘述「錯誤」？,它是文章裡用來分別句子休止或停頓的符號,能夠幫助讀者正確了解文意，節省閱讀時間,有些標點符號能表達出不同的語氣（如驚嘆、疑問）,它只是用來裝飾版面的符號，不加標點對文意完全沒有影響,D,標點符號對文意表達非常重要，不加或加錯會造成語意混淆或誤會 [26]。,chinese
標點符號使用法,「中華隊大敗韓國隊獲得冠軍」這句話如果沒有任何標點，會產生歧義。下列哪一個標點方式表示的結果是「韓國隊輸了」？,中華隊大敗，韓國隊獲得冠軍。,中華隊大敗韓國隊，獲得冠軍。,中華隊大敗？韓國隊獲得冠軍。,中華隊大敗；韓國隊獲得冠軍。,B,(B) 選項「中華隊大敗韓國隊，獲得冠軍」，意思是指中華隊擊敗（大敗）了韓國隊，獲得冠軍，此時是韓國隊輸了。(A) 選項「中華隊大敗，韓國隊獲得冠軍」是指中華隊慘敗，韓國隊獲得冠軍 [26]。,chinese
標點符號使用法,在電腦排版中佔兩個字寬，可用來表示「聲音的延長」或「語意的轉折」的標點符號是哪一種？,刪節號,破折號,夾注號,逗號,B,破折號（——）在電腦排版佔兩個字寬，主要功能包括：聲音的延長、語意的轉折、補充說明等 [26]。,chinese
標點符號使用法,下列哪一個句子中的破折號，其功能是表示「聲音的延長」？,他本想多陪陪家人，——但工作不允許,「嗚——嗚——」火車開了,我最喜歡的科目——國文,大家都知道，他是一個——好人,B,(B) 的「嗚——嗚——」是用破折號標示火車汽笛的聲音延長。(A) 為語意的轉折；(C) 為補充說明 [26]。,chinese
標點符號使用法,下列哪一個句子中的破折號，其功能是表示「語意的轉折」？,「嗚——嗚——」火車開了,他本想多陪陪家人，——但工作不允許,我最喜歡的科目——國文,嗶——哨聲響起，比賽結束了,B,(B) 前文說「想陪家人」，後文轉折為「工作不允許」，故此處破折號為表示「語意轉折」。(A)、(D) 為聲音延長，(C) 為補充說明 [26]。,chinese
標點符號使用法,關於「刪節號（……）」的規格與書寫，下列敘述何者正確？,佔一個字寬，共三點,佔兩個字寬，共六點,佔三個字寬，共九點,隨意點幾點都可以，沒有規範,B,標準的刪節號在排版上「佔兩個字寬，共有六個點（……）」 [26]。,chinese
標點符號使用法,刪節號（……）在文章中，最主要具備哪兩種功能？,語意未完或斷斷續續、省略詞語,聲音延長、補充說明,表示人名或地名的簡稱,區隔分句的平行並列關係,A,刪節號的主要功能是表示「語意未完、說話斷斷續續」或是「省略不必要的詞語」 [26]。,chinese
標點符號使用法,關於「夾注號」的書寫與前後文關係，下列敘述何者正確？,夾注號只能使用中括號 [ ] 來書寫,夾注號不可用於文章的說明與註釋,夾注號可以用（ ）或 ——  —— 來表示,破折號形式的夾注與前文的關係，比括號形式還要親密,C,夾注號可用括號（ ）或雙破折號 —— —— 表示。(D) 錯誤，括號（ ）與前文關係較親密，雙破折號 —— —— 的夾注與前文關係較疏遠 [26]。,chinese
標點符號使用法,〈夏夜〉是現代詩，選自《楊喚全集》。請問「《楊喚全集》」外面的符號「《 》」屬於哪一種標點符號？,書名號,專名號,引號,括號,A,書名、篇名、報紙、雜誌、歌曲名等，皆應使用「書名號（《 》）」標示 [26]。,chinese
標點符號使用法,我們在寫作時，若要標示「人名（如胡適）、地名（如安徽省）、國名、朝代」，應該使用哪一種標點符號？,書名號,專名號,破折號,刪節號,B,用於標示人名、地名、國名、朝代、機構等專門名稱的符號是「專名號（＿＿）」 [26]。,chinese
